"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","00","2","6","com","66","false"
"-3","PBS INTERNATIONAL A/S","457143","classic","VISA card","mixed","00","0","6","dk","undefined","false"
"-3","BANCA NAZIONALE DEL LAVORO S.P.A. - BNL","543013","standard","MasterCard","mixed","01","4","6","com","33","false"
"-3","BANCO POPOLARE SOCIETA COOPERATIVA","540058","standard","MasterCard","mixed","02","0","6","com","93","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","05","0","6","it","33","false"
"-3","INTESA SANPAOLO S.P.A.","534207","standard","MasterCard","mixed","05","5","6","com","27","false"
"-3","PBS INTERNATIONAL A/S","457190","classic","VISA card","mixed","06","0","6","dk","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","07","0","6","it","38","false"
"-3","PBS INTERNATIONAL A/S","457143","classic","VISA card","mixed","07","0","6","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457126","classic","VISA card","mixed","08","0","6","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457177","classic","VISA card","mixed","08","0","6","dk","undefined","false"
"-3","PBS INTERNATIONAL A/S","457115","classic","VISA card","mixed","08","0","6","com","undefined","false"
"-3","SYDBANK A/S","517021","standard","MasterCard","mixed","08","0","6","de","56","false"
"-3","INTESA SANPAOLO S.P.A.","530514","standard","MasterCard","mixed","08","2","6","com","27","false"
"-3","SYDBANK A/S","517021","standard","MasterCard","mixed","08","0","6","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","08","0","6","com","31","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","09","1","6","com","50","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","09","3","6","com","39","false"
"-3","CARTASI S.P.A.","529204","standard","MasterCard","mixed","09","0","6","it","47","false"
"-3","INTERBANK - BANCO INTERNACIONAL DEL PERU","421355","classic","VISA card","mixed","09","2","6","com","undefined","false"
"-3","BANCA SELLA S.P.A.","533875","standard","MasterCard","mixed","09","0","6","it","33","false"
